year,hwsov,hwnonsov,hwpool,hwtransit,hwbus,hwrail,hwsubw,hwtroll,hwferry,hwwalk,hwbike,hwtmo,hwtaxi,hwmcyc,hwother,hwwfh,chsov,chnonsov,chpool,chtransit,chbus,chrail,chsubw,chtroll,chferry,chwalk,chbike,chtmo,chtaxi,chmcyc,chother,chwfh,pesov,penonsov,pepool,petransit,pebus,perail,pesubw,petroll,peferry,pewalk,pebike,petmo,petaxi,pemcyc,peother,pewfh,dinsov,dinnonsov,dinpool,dintransit,dinbus,dinrail,dinsubw,dintroll,dinferry,dinwalk,dinbike,dintmo,dintaxi,dinmcyc,dinother,dinwfh,chesov,chenonsov,chepool,chetransit,chebus,cherail,chesubw,chetroll,cheferry,chewalk,chebike,chetmo,chetaxi,chemcyc,cheother,chewfh,pgsov,pgnonsov,pgpool,pgtransit,pgbus,pgrail,pgsubw,pgtroll,pgferry,pgwalk,pgbike,pgtmo,pgtaxi,pgmcyc,pgother,pgwfh
2006,0.823,0.177,0.085,0.031,0.014,0.01,0.007,0.001,0,0.021,0.002,0.008,0.001,0.001,0.006,0.029,0.748,0.252,0.108,0.08,0.041,0.016,0.021,0.001,0.001,0.022,0.002,0.01,0.002,0.001,0.008,0.031,0.854,0.146,0.075,0.026,0.018,0.004,0.004,0,0,0.015,0.002,0.003,0,0.001,0.002,0.025,0.73,0.27,0.096,0.076,0.031,0.04,0.004,0,0,0.045,0.009,0.011,0,0.001,0.01,0.034,0.828,0.172,0.084,0.026,0.006,0.019,0.001,0,0,0.022,0.001,0.005,0,0.001,0.004,0.034,0.805,0.195,0.082,0.025,0.009,0.015,0.001,0,0,0.024,0.001,0.012,0.001,0.002,0.009,0.052
2007,0.823,0.177,0.083,0.033,0.012,0.012,0.009,0,0,0.012,0.003,0.01,0.001,0.001,0.008,0.036,0.75,0.25,0.108,0.081,0.035,0.019,0.027,0,0,0.024,0.003,0.006,0.001,0,0.005,0.027,0.819,0.181,0.093,0.027,0.015,0.006,0.006,0,0,0.021,0,0.004,0,0,0.003,0.036,0.726,0.274,0.11,0.068,0.028,0.037,0.002,0.001,0,0.037,0.005,0.019,0.004,0,0.015,0.035,0.831,0.169,0.077,0.028,0.004,0.022,0.002,0,0,0.019,0.002,0.004,0,0.001,0.004,0.04,0.808,0.192,0.083,0.025,0.006,0.016,0.002,0,0,0.023,0.001,0.005,0.001,0.001,0.004,0.055
2008,0.818,0.182,0.094,0.032,0.013,0.013,0.006,0,0,0.011,0.002,0.009,0.001,0.001,0.007,0.035,0.753,0.247,0.108,0.076,0.032,0.017,0.026,0.001,0,0.023,0.003,0.012,0.003,0,0.008,0.026,0.833,0.167,0.086,0.021,0.014,0.004,0.003,0,0,0.017,0.002,0.011,0,0.001,0.01,0.029,0.708,0.292,0.107,0.07,0.027,0.039,0.004,0,0,0.037,0.009,0.022,0.005,0.001,0.017,0.046,0.816,0.184,0.082,0.03,0.006,0.021,0.002,0,0,0.015,0.002,0.007,0,0.001,0.005,0.048,0.814,0.186,0.075,0.027,0.006,0.019,0.002,0.001,0,0.022,0.002,0.009,0,0.002,0.007,0.05
2009,0.812,0.188,0.068,0.029,0.011,0.013,0.005,0,0,0.019,0.002,0.008,0,0,0.007,0.062,0.764,0.236,0.093,0.078,0.031,0.014,0.032,0.001,0,0.017,0.004,0.015,0.002,0.001,0.011,0.029,0.826,0.174,0.084,0.033,0.014,0.009,0.01,0,0,0.012,0,0.009,0,0.001,0.008,0.036,0.717,0.283,0.106,0.068,0.029,0.034,0.003,0.002,0.001,0.037,0.007,0.02,0.003,0,0.017,0.045,0.831,0.169,0.077,0.029,0.003,0.023,0.003,0,0,0.015,0.003,0.007,0.001,0.001,0.004,0.038,0.824,0.176,0.068,0.031,0.009,0.021,0.002,0,0,0.017,0.005,0.007,0,0,0.007,0.048
2010,0.828,0.172,0.08,0.035,0.011,0.02,0.004,0,0,0.011,0.003,0.007,0,0,0.007,0.035,0.781,0.219,0.083,0.081,0.039,0.016,0.026,0,0,0.018,0.001,0.009,0,0,0.009,0.027,0.861,0.139,0.073,0.022,0.012,0.004,0.005,0,0,0.013,0,0.007,0,0,0.006,0.026,0.693,0.307,0.109,0.077,0.032,0.04,0.004,0,0.001,0.05,0.006,0.016,0.002,0,0.014,0.049,0.835,0.165,0.074,0.027,0.004,0.021,0.002,0,0,0.015,0.001,0.004,0.001,0,0.003,0.043,0.809,0.191,0.068,0.026,0.006,0.019,0.002,0,0,0.024,0.001,0.011,0,0.001,0.01,0.061
2011,0.82,0.18,0.075,0.034,0.011,0.017,0.005,0.002,0,0.018,0.003,0.006,0,0.002,0.004,0.044,0.763,0.237,0.088,0.089,0.038,0.018,0.032,0.001,0,0.015,0.002,0.006,0.001,0,0.005,0.036,0.863,0.137,0.066,0.02,0.01,0.006,0.004,0,0,0.016,0.002,0.011,0,0,0.011,0.021,0.719,0.281,0.09,0.081,0.032,0.046,0.003,0,0,0.045,0.004,0.015,0.004,0,0.012,0.046,0.812,0.188,0.08,0.033,0.005,0.023,0.004,0,0,0.019,0.002,0.007,0.001,0.001,0.005,0.047,0.813,0.187,0.067,0.027,0.007,0.019,0.001,0,0,0.02,0.001,0.008,0,0.001,0.007,0.064
2012,0.824,0.176,0.078,0.036,0.016,0.014,0.006,0,0,0.012,0.004,0.007,0,0.001,0.006,0.039,0.768,0.232,0.096,0.079,0.031,0.014,0.034,0,0,0.016,0.001,0.007,0,0,0.007,0.033,0.852,0.148,0.071,0.016,0.008,0.003,0.004,0,0,0.02,0.001,0.01,0,0,0.01,0.03,0.735,0.265,0.084,0.073,0.028,0.042,0.002,0.001,0,0.029,0.009,0.012,0.003,0,0.009,0.058,0.817,0.183,0.077,0.032,0.004,0.024,0.003,0,0,0.019,0.002,0.006,0,0.001,0.005,0.047,0.81,0.19,0.05,0.029,0.008,0.021,0.001,0,0,0.039,0.002,0.006,0,0.001,0.005,0.064
2013,0.844,0.156,0.056,0.034,0.011,0.015,0.007,0,0,0.015,0.004,0.008,0,0.001,0.007,0.038,0.769,0.231,0.077,0.082,0.034,0.015,0.03,0.001,0,0.027,0.002,0.01,0.001,0,0.009,0.033,0.865,0.135,0.067,0.018,0.009,0.004,0.004,0.001,0,0.015,0.005,0.005,0,0,0.005,0.023,0.704,0.296,0.102,0.082,0.04,0.04,0.002,0,0,0.025,0.01,0.026,0.002,0,0.025,0.051,0.822,0.178,0.072,0.029,0.005,0.022,0.003,0,0,0.018,0.003,0.008,0,0.002,0.006,0.049,0.799,0.201,0.059,0.032,0.007,0.024,0.001,0,0,0.043,0.001,0.005,0,0,0.004,0.062
2014,0.837,0.163,0.074,0.035,0.014,0.016,0.005,0,0,0.011,0.003,0.006,0,0.001,0.005,0.033,0.776,0.224,0.093,0.064,0.028,0.009,0.026,0.001,0,0.025,0.002,0.01,0.001,0.001,0.009,0.03,0.849,0.151,0.065,0.022,0.015,0.002,0.004,0.001,0,0.011,0.006,0.008,0,0.002,0.006,0.04,0.712,0.288,0.111,0.078,0.03,0.044,0.003,0.001,0,0.026,0.007,0.005,0.002,0,0.003,0.061,0.816,0.184,0.082,0.03,0.006,0.022,0.001,0,0,0.018,0.002,0.005,0,0.001,0.004,0.047,0.777,0.223,0.083,0.03,0.005,0.023,0.002,0,0,0.038,0.003,0.01,0,0.001,0.008,0.059
2015,0.835,0.165,0.078,0.034,0.008,0.017,0.008,0,0,0.014,0,0.008,0,0,0.008,0.031,0.776,0.224,0.081,0.074,0.029,0.015,0.029,0,0,0.022,0.001,0.012,0.003,0.001,0.008,0.034,0.863,0.137,0.064,0.021,0.012,0.004,0.004,0,0,0.013,0.001,0.01,0,0.001,0.009,0.029,0.741,0.259,0.081,0.089,0.035,0.05,0.003,0.001,0,0.037,0.005,0.006,0.001,0.001,0.004,0.04,0.815,0.185,0.074,0.037,0.003,0.031,0.002,0,0,0.021,0.001,0.006,0.001,0,0.004,0.046,0.806,0.194,0.069,0.024,0.007,0.015,0.002,0,0,0.027,0.002,0.006,0,0.001,0.005,0.066
2016,0.83,0.17,0.076,0.029,0.008,0.016,0.005,0,0,0.014,0.001,0.008,0,0.002,0.006,0.043,0.745,0.255,0.117,0.075,0.027,0.017,0.029,0.001,0,0.015,0.002,0.012,0.001,0,0.011,0.034,0.854,0.146,0.055,0.028,0.015,0.004,0.008,0.001,0,0.012,0.001,0.012,0.001,0.001,0.009,0.039,0.707,0.293,0.109,0.075,0.021,0.05,0.004,0,0,0.039,0.005,0.014,0.007,0,0.006,0.051,0.821,0.179,0.065,0.036,0.006,0.027,0.001,0,0.002,0.017,0.003,0.006,0,0.001,0.005,0.053,0.78,0.22,0.067,0.03,0.005,0.022,0.003,0,0.001,0.03,0.001,0.009,0,0,0.008,0.084
2017,0.821,0.179,0.069,0.035,0.01,0.015,0.009,0.001,0.001,0.017,0.002,0.01,0.001,0.003,0.006,0.046,0.762,0.238,0.084,0.076,0.024,0.016,0.035,0.001,0,0.02,0.004,0.012,0.003,0,0.009,0.043,0.854,0.146,0.062,0.023,0.009,0.005,0.009,0,0,0.009,0.001,0.012,0.004,0,0.008,0.041,0.693,0.307,0.115,0.076,0.021,0.048,0.006,0,0,0.045,0.004,0.011,0.006,0,0.005,0.056,0.82,0.18,0.061,0.03,0.004,0.024,0.002,0,0,0.022,0.002,0.006,0,0,0.006,0.06,0.792,0.208,0.074,0.027,0.005,0.021,0.001,0,0,0.022,0.001,0.005,0.002,0,0.004,0.079
2018,0.83,0.17,0.069,0.036,0.008,0.017,0.01,0,0,0.007,0.002,0.011,0.002,0.001,0.009,0.045,0.757,0.243,0.082,0.078,0.03,0.02,0.028,0,0,0.018,0.003,0.02,0.007,0.001,0.012,0.042,0.83,0.17,0.08,0.02,0.009,0.004,0.007,0,0,0.012,0.001,0.012,0,0,0.012,0.045,0.682,0.318,0.137,0.067,0.018,0.046,0.002,0.002,0,0.048,0.004,0.014,0.01,0,0.004,0.049,0.827,0.173,0.058,0.033,0.004,0.027,0.002,0,0,0.012,0.001,0.004,0.001,0,0.002,0.064,0.805,0.195,0.056,0.025,0.005,0.019,0.001,0,0,0.019,0.002,0.007,0,0,0.006,0.086
2019,0.818,0.182,0.083,0.031,0.005,0.014,0.007,0.004,0,0.008,0.002,0.009,0.002,0,0.006,0.05,0.767,0.233,0.101,0.065,0.022,0.015,0.024,0.004,0,0.015,0.002,0.011,0.004,0,0.006,0.038,0.809,0.191,0.082,0.024,0.01,0.007,0.006,0.001,0,0.015,0.007,0.01,0.001,0,0.009,0.054,0.703,0.297,0.105,0.077,0.013,0.061,0,0.002,0,0.044,0.003,0.009,0.002,0.001,0.005,0.06,0.812,0.188,0.066,0.028,0.004,0.021,0.001,0.002,0,0.013,0.001,0.007,0.002,0,0.005,0.072,0.773,0.227,0.079,0.026,0.005,0.019,0.002,0.001,0,0.02,0.001,0.012,0.001,0,0.011,0.089
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,0.72,0.28,0.057,0.01,0.002,0.004,0.001,0.003,0,0.01,0.002,0.012,0.003,0,0.008,0.19,0.659,0.341,0.082,0.032,0.016,0.005,0.008,0.003,0,0.017,0.001,0.014,0.005,0,0.009,0.194,0.745,0.255,0.049,0.01,0.004,0.003,0.003,0,0,0.008,0.001,0.008,0,0,0.008,0.179,0.565,0.435,0.075,0.034,0.018,0.013,0.002,0,0,0.023,0.003,0.019,0.006,0,0.012,0.28,0.679,0.321,0.056,0.01,0.003,0.007,0,0,0,0.008,0.002,0.011,0,0,0.011,0.234,0.612,0.388,0.056,0.005,0.001,0.003,0,0,0,0.019,0.001,0.015,0,0,0.015,0.291
2022,0.724,0.276,0.076,0.026,0.003,0.014,0.007,0.002,0,0.008,0.001,0.014,0.001,0.001,0.013,0.151,0.658,0.342,0.104,0.044,0.018,0.007,0.017,0.002,0,0.023,0.002,0.022,0.011,0.001,0.011,0.147,0.743,0.257,0.069,0.016,0.006,0.004,0.002,0.005,0,0.018,0.002,0.015,0.001,0.001,0.014,0.136,0.596,0.404,0.099,0.039,0.01,0.026,0.002,0.001,0,0.044,0.019,0.015,0.004,0,0.011,0.189,0.7,0.3,0.061,0.019,0.003,0.014,0.001,0,0,0.011,0.002,0.014,0.002,0.001,0.011,0.194,0.663,0.337,0.061,0.015,0.002,0.01,0.001,0.001,0,0.023,0.001,0.015,0.001,0.001,0.014,0.222
