year,vmthw,vmtPerVehiclehw,vmtPerCaphw,vmtch,vmtPerVehiclech,vmtPerCapch,vmtpe,vmtPerVehiclepe,vmtPerCappe,vmtche,vmtPerVehicleche,vmtPerCapche,vmtdin,vmtPerVehicledin,vmtPerCapdin,vmtpg,vmtPerVehiclepg,vmtPerCappg
2000,103.93,34.45,19.28,37.72,40.23,24.5,66.21,31.84,17.19,51.04,33.31,21.83,12.93,31.49,21.57,12.17,43.6,28.67
2001,106.43,,19.65,38.49,,24.84,67.93,,17.57,52.38,,22.24,13.29,,22.04,12.49,,29.07
2002,107.98,,19.82,38.65,,24.7,69.34,,17.86,53.56,,22.58,13.49,,22.21,12.58,,28.87
2003,109.66,,20.02,39.29,,24.89,70.37,,18.05,54.26,,22.72,13.62,,22.32,12.72,,28.81
2004,110.95,,20.15,40.33,,25.34,70.62,,18.04,54.5,,22.7,13.67,,22.27,13.01,,29.23
2005,112.27,35.13,20.31,41.14,39.96,25.75,71.13,32.84,18.1,54.82,33.5,22.72,13.7,31.28,22.23,13.37,42.9,30.02
2006,113.34,35.09,20.42,41.8,40.24,26.03,71.55,32.65,18.13,55.14,33.08,22.73,13.64,30.72,22.02,13.2,43.05,29.6
2007,113.38,34.56,20.32,41.32,39.48,25.67,72.06,32.26,18.15,55.68,33.32,22.82,13.84,31.4,22.27,12.89,40.82,28.96
2008,111.22,34.11,19.84,39.88,38.68,24.73,71.33,32,17.86,55.03,32.73,22.43,13.74,31.29,22.04,12.21,39.63,27.5
2009,107.98,33.01,19.17,39.69,38.17,24.58,68.29,30.61,17,52.73,31.46,21.38,13.16,29.5,21.05,12.35,39.24,27.81
2010,107.02,32.87,19,39.52,38.26,24.41,67.5,30.37,16.82,52.38,31.12,21.08,13.13,30.34,20.99,12.45,40.13,27.73
2011,105.63,32.51,18.68,39.36,38.35,24.3,66.28,29.82,16.43,51.64,30.64,20.7,12.95,28.69,20.69,12.27,39.47,27.25
2012,106.77,32.47,18.82,40.52,39.38,25.01,66.25,29.33,16.35,51.32,30.36,20.52,12.7,28.48,20.31,12.78,41.59,28.36
2013,106.32,32.18,18.7,41.3,40.21,25.53,65.02,28.56,15.99,50.61,29.74,20.18,12.72,28.49,20.36,12.79,41.51,28.5
2014,107.25,32.15,18.82,41.29,39.42,25.55,65.96,28.83,16.16,50.91,29.75,20.23,12.74,28.41,20.38,12.83,40.07,28.64
2015,107.8,31.88,18.9,41.8,40.27,25.9,66.01,28.17,16.13,50.75,29.12,20.13,12.67,27.31,20.26,12.73,41.33,28.49
2016,110.32,32.41,19.31,43.14,40.92,26.77,67.18,28.59,16.38,52.04,29.91,20.6,12.87,28.05,20.56,13.46,41.46,30.18
2017,111.45,32.42,19.47,43.56,40.79,27.04,67.89,28.64,16.5,52.55,29.77,20.74,12.86,27.66,20.51,13.61,41.85,30.55
2018,110.82,31.84,19.32,43.16,40.27,26.79,67.66,28.09,16.4,52.41,29.36,20.62,12.88,26.93,20.51,13.52,41.51,30.41
2019,112.01,31.65,19.49,43.98,40.5,27.3,68.03,27.73,16.45,52.78,29.21,20.69,12.98,27.04,20.67,13.81,42.27,31
2020,92.07,25.19,15.64,37.33,33.36,22.31,54.74,21.58,12.99,42.29,22.84,16.18,10.5,21.39,16.25,11.44,34.05,24.79
2021,110.61,29.62,18.77,41.96,36.62,25.05,68.66,26.52,16.28,52.36,27.98,19.92,12.91,26.84,19.95,13.16,38.91,28.35
2022,109.56,29.22,18.64,42.36,37.63,25.24,67.2,25.61,16.01,50.59,26.95,19.23,12.7,25.74,19.68,13.29,40.25,28.51
2023,112.8,30.02,19.19,43.83,37.92,25.99,68.97,26.51,16.45,52.49,27.91,19.87,13.11,26.09,20.3,13.65,38.59,29.09
